ID,Category,Series,Model,Name,Tsubaki_Code,Spec_pitch_mm,Spec_pitch_inch,Spec_strands,Spec_tensile_strength_kn,Spec_allowable_load_kn,Spec_weight_kg_per_m,Spec_material,Spec_temperature_range,Spec_surface_treatment,Features,Applications,Spec_lubrication,Spec_corrosion_resistance,Spec_strength_improvement,Spec_compatible_chain,Spec_tooth_count,Spec_pitch_diameter_mm,Spec_outside_diameter_mm,Spec_hub_type,Spec_hub_name,Spec_max_bore_mm,Spec_hardness,Spec_width_mm,Spec_roller_type,Spec_max_allowable_load_kn,Spec_tooth_profile,Spec_cord,Spec_max_speed_mps,Spec_reduction_ratio,Spec_input_power_kw,Spec_output_torque_nm,Spec_backlash_arcmin,Spec_efficiency_percent,Spec_rated_torque_nm,Spec_bore_range_mm,Spec_coupling_type,Spec_max_rpm,Spec_thrust_kn,Spec_stroke_mm,Spec_speed_mm_per_min,Spec_positioning_accuracy,Spec_height_mm,Spec_bend_radius_mm,Spec_material_name
TSK_2712,Sprocket,ANSI #50,SP50-46T-B-S45C,#50 Chain Sprocket 46T Type B S45C,SP50-46T-B-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,46.0,232.45,242.37,B,Finished Bore,150.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2713,Sprocket,ANSI #50,SP50-46T-B-SUS304,#50 Chain Sprocket 46T Type B SUS304,SP50-46T-B-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,46.0,232.45,242.37,B,Finished Bore,150.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2714,Sprocket,ANSI #50,SP50-46T-B-HRC45,#50 Chain Sprocket 46T Type B HRC45,SP50-46T-B-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,46.0,232.45,242.37,B,Finished Bore,150.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2715,Sprocket,ANSI #50,SP50-46T-C-S45C,#50 Chain Sprocket 46T Type C S45C,SP50-46T-C-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,46.0,232.45,242.37,C,Taper Lock,186.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2716,Sprocket,ANSI #50,SP50-46T-C-SUS304,#50 Chain Sprocket 46T Type C SUS304,SP50-46T-C-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,46.0,232.45,242.37,C,Taper Lock,186.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2717,Sprocket,ANSI #50,SP50-46T-C-HRC45,#50 Chain Sprocket 46T Type C HRC45,SP50-46T-C-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,46.0,232.45,242.37,C,Taper Lock,186.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2718,Sprocket,ANSI #50,SP50-47T-A-S45C,#50 Chain Sprocket 47T Type A S45C,SP50-47T-A-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,47.0,237.5,247.42,A,Plain Bore,100.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2719,Sprocket,ANSI #50,SP50-47T-A-SUS304,#50 Chain Sprocket 47T Type A SUS304,SP50-47T-A-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,47.0,237.5,247.42,A,Plain Bore,100.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2720,Sprocket,ANSI #50,SP50-47T-A-HRC45,#50 Chain Sprocket 47T Type A HRC45,SP50-47T-A-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,47.0,237.5,247.42,A,Plain Bore,100.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2721,Sprocket,ANSI #50,SP50-47T-B-S45C,#50 Chain Sprocket 47T Type B S45C,SP50-47T-B-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,47.0,237.5,247.42,B,Finished Bore,150.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2722,Sprocket,ANSI #50,SP50-47T-B-SUS304,#50 Chain Sprocket 47T Type B SUS304,SP50-47T-B-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,47.0,237.5,247.42,B,Finished Bore,150.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2723,Sprocket,ANSI #50,SP50-47T-B-HRC45,#50 Chain Sprocket 47T Type B HRC45,SP50-47T-B-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,47.0,237.5,247.42,B,Finished Bore,150.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2724,Sprocket,ANSI #50,SP50-47T-C-S45C,#50 Chain Sprocket 47T Type C S45C,SP50-47T-C-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,47.0,237.5,247.42,C,Taper Lock,190.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2725,Sprocket,ANSI #50,SP50-47T-C-SUS304,#50 Chain Sprocket 47T Type C SUS304,SP50-47T-C-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,47.0,237.5,247.42,C,Taper Lock,190.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2726,Sprocket,ANSI #50,SP50-47T-C-HRC45,#50 Chain Sprocket 47T Type C HRC45,SP50-47T-C-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,47.0,237.5,247.42,C,Taper Lock,190.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2727,Sprocket,ANSI #50,SP50-48T-A-S45C,#50 Chain Sprocket 48T Type A S45C,SP50-48T-A-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,48.0,242.55,252.47,A,Plain Bore,100.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2728,Sprocket,ANSI #50,SP50-48T-A-SUS304,#50 Chain Sprocket 48T Type A SUS304,SP50-48T-A-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,48.0,242.55,252.47,A,Plain Bore,100.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2729,Sprocket,ANSI #50,SP50-48T-A-HRC45,#50 Chain Sprocket 48T Type A HRC45,SP50-48T-A-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,48.0,242.55,252.47,A,Plain Bore,100.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2730,Sprocket,ANSI #50,SP50-48T-B-S45C,#50 Chain Sprocket 48T Type B S45C,SP50-48T-B-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,48.0,242.55,252.47,B,Finished Bore,150.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2731,Sprocket,ANSI #50,SP50-48T-B-SUS304,#50 Chain Sprocket 48T Type B SUS304,SP50-48T-B-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,48.0,242.55,252.47,B,Finished Bore,150.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2732,Sprocket,ANSI #50,SP50-48T-B-HRC45,#50 Chain Sprocket 48T Type B HRC45,SP50-48T-B-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,48.0,242.55,252.47,B,Finished Bore,150.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2733,Sprocket,ANSI #50,SP50-48T-C-S45C,#50 Chain Sprocket 48T Type C S45C,SP50-48T-C-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,48.0,242.55,252.47,C,Taper Lock,194.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2734,Sprocket,ANSI #50,SP50-48T-C-SUS304,#50 Chain Sprocket 48T Type C SUS304,SP50-48T-C-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,48.0,242.55,252.47,C,Taper Lock,194.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2735,Sprocket,ANSI #50,SP50-48T-C-HRC45,#50 Chain Sprocket 48T Type C HRC45,SP50-48T-C-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,48.0,242.55,252.47,C,Taper Lock,194.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2736,Sprocket,ANSI #50,SP50-49T-A-S45C,#50 Chain Sprocket 49T Type A S45C,SP50-49T-A-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,49.0,247.61,257.53,A,Plain Bore,100.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2737,Sprocket,ANSI #50,SP50-49T-A-SUS304,#50 Chain Sprocket 49T Type A SUS304,SP50-49T-A-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,49.0,247.61,257.53,A,Plain Bore,100.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2738,Sprocket,ANSI #50,SP50-49T-A-HRC45,#50 Chain Sprocket 49T Type A HRC45,SP50-49T-A-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,49.0,247.61,257.53,A,Plain Bore,100.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2739,Sprocket,ANSI #50,SP50-49T-B-S45C,#50 Chain Sprocket 49T Type B S45C,SP50-49T-B-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,49.0,247.61,257.53,B,Finished Bore,150.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2740,Sprocket,ANSI #50,SP50-49T-B-SUS304,#50 Chain Sprocket 49T Type B SUS304,SP50-49T-B-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,49.0,247.61,257.53,B,Finished Bore,150.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2741,Sprocket,ANSI #50,SP50-49T-B-HRC45,#50 Chain Sprocket 49T Type B HRC45,SP50-49T-B-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,49.0,247.61,257.53,B,Finished Bore,150.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2742,Sprocket,ANSI #50,SP50-49T-C-S45C,#50 Chain Sprocket 49T Type C S45C,SP50-49T-C-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,49.0,247.61,257.53,C,Taper Lock,198.1,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2743,Sprocket,ANSI #50,SP50-49T-C-SUS304,#50 Chain Sprocket 49T Type C SUS304,SP50-49T-C-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,49.0,247.61,257.53,C,Taper Lock,198.1,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2744,Sprocket,ANSI #50,SP50-49T-C-HRC45,#50 Chain Sprocket 49T Type C HRC45,SP50-49T-C-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,49.0,247.61,257.53,C,Taper Lock,198.1,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2745,Sprocket,ANSI #50,SP50-50T-A-S45C,#50 Chain Sprocket 50T Type A S45C,SP50-50T-A-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,50.0,252.66,262.58,A,Plain Bore,100.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2746,Sprocket,ANSI #50,SP50-50T-A-SUS304,#50 Chain Sprocket 50T Type A SUS304,SP50-50T-A-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,50.0,252.66,262.58,A,Plain Bore,100.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2747,Sprocket,ANSI #50,SP50-50T-A-HRC45,#50 Chain Sprocket 50T Type A HRC45,SP50-50T-A-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,50.0,252.66,262.58,A,Plain Bore,100.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2748,Sprocket,ANSI #50,SP50-50T-B-S45C,#50 Chain Sprocket 50T Type B S45C,SP50-50T-B-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,50.0,252.66,262.58,B,Finished Bore,150.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2749,Sprocket,ANSI #50,SP50-50T-B-SUS304,#50 Chain Sprocket 50T Type B SUS304,SP50-50T-B-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,50.0,252.66,262.58,B,Finished Bore,150.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2750,Sprocket,ANSI #50,SP50-50T-B-HRC45,#50 Chain Sprocket 50T Type B HRC45,SP50-50T-B-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,50.0,252.66,262.58,B,Finished Bore,150.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2751,Sprocket,ANSI #50,SP50-50T-C-S45C,#50 Chain Sprocket 50T Type C S45C,SP50-50T-C-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,50.0,252.66,262.58,C,Taper Lock,200.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2752,Sprocket,ANSI #50,SP50-50T-C-SUS304,#50 Chain Sprocket 50T Type C SUS304,SP50-50T-C-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,50.0,252.66,262.58,C,Taper Lock,200.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2753,Sprocket,ANSI #50,SP50-50T-C-HRC45,#50 Chain Sprocket 50T Type C HRC45,SP50-50T-C-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,50.0,252.66,262.58,C,Taper Lock,200.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2754,Sprocket,ANSI #50,SP50-51T-A-S45C,#50 Chain Sprocket 51T Type A S45C,SP50-51T-A-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,51.0,257.71,267.63,A,Plain Bore,100.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2755,Sprocket,ANSI #50,SP50-51T-A-SUS304,#50 Chain Sprocket 51T Type A SUS304,SP50-51T-A-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,51.0,257.71,267.63,A,Plain Bore,100.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2756,Sprocket,ANSI #50,SP50-51T-A-HRC45,#50 Chain Sprocket 51T Type A HRC45,SP50-51T-A-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,51.0,257.71,267.63,A,Plain Bore,100.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2757,Sprocket,ANSI #50,SP50-51T-B-S45C,#50 Chain Sprocket 51T Type B S45C,SP50-51T-B-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,51.0,257.71,267.63,B,Finished Bore,150.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2758,Sprocket,ANSI #50,SP50-51T-B-SUS304,#50 Chain Sprocket 51T Type B SUS304,SP50-51T-B-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,51.0,257.71,267.63,B,Finished Bore,150.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2759,Sprocket,ANSI #50,SP50-51T-B-HRC45,#50 Chain Sprocket 51T Type B HRC45,SP50-51T-B-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,51.0,257.71,267.63,B,Finished Bore,150.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2760,Sprocket,ANSI #50,SP50-51T-C-S45C,#50 Chain Sprocket 51T Type C S45C,SP50-51T-C-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,51.0,257.71,267.63,C,Taper Lock,200.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2761,Sprocket,ANSI #50,SP50-51T-C-SUS304,#50 Chain Sprocket 51T Type C SUS304,SP50-51T-C-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,51.0,257.71,267.63,C,Taper Lock,200.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2762,Sprocket,ANSI #50,SP50-51T-C-HRC45,#50 Chain Sprocket 51T Type C HRC45,SP50-51T-C-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,51.0,257.71,267.63,C,Taper Lock,200.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2763,Sprocket,ANSI #50,SP50-52T-A-S45C,#50 Chain Sprocket 52T Type A S45C,SP50-52T-A-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,52.0,262.77,272.69,A,Plain Bore,100.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2764,Sprocket,ANSI #50,SP50-52T-A-SUS304,#50 Chain Sprocket 52T Type A SUS304,SP50-52T-A-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,52.0,262.77,272.69,A,Plain Bore,100.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2765,Sprocket,ANSI #50,SP50-52T-A-HRC45,#50 Chain Sprocket 52T Type A HRC45,SP50-52T-A-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,52.0,262.77,272.69,A,Plain Bore,100.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2766,Sprocket,ANSI #50,SP50-52T-B-S45C,#50 Chain Sprocket 52T Type B S45C,SP50-52T-B-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,52.0,262.77,272.69,B,Finished Bore,150.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2767,Sprocket,ANSI #50,SP50-52T-B-SUS304,#50 Chain Sprocket 52T Type B SUS304,SP50-52T-B-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,52.0,262.77,272.69,B,Finished Bore,150.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2768,Sprocket,ANSI #50,SP50-52T-B-HRC45,#50 Chain Sprocket 52T Type B HRC45,SP50-52T-B-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,52.0,262.77,272.69,B,Finished Bore,150.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2769,Sprocket,ANSI #50,SP50-52T-C-S45C,#50 Chain Sprocket 52T Type C S45C,SP50-52T-C-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,52.0,262.77,272.69,C,Taper Lock,200.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2770,Sprocket,ANSI #50,SP50-52T-C-SUS304,#50 Chain Sprocket 52T Type C SUS304,SP50-52T-C-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,52.0,262.77,272.69,C,Taper Lock,200.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2771,Sprocket,ANSI #50,SP50-52T-C-HRC45,#50 Chain Sprocket 52T Type C HRC45,SP50-52T-C-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,52.0,262.77,272.69,C,Taper Lock,200.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2772,Sprocket,ANSI #50,SP50-53T-A-S45C,#50 Chain Sprocket 53T Type A S45C,SP50-53T-A-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,53.0,267.82,277.74,A,Plain Bore,100.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2773,Sprocket,ANSI #50,SP50-53T-A-SUS304,#50 Chain Sprocket 53T Type A SUS304,SP50-53T-A-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,53.0,267.82,277.74,A,Plain Bore,100.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
TSK_2774,Sprocket,ANSI #50,SP50-53T-A-HRC45,#50 Chain Sprocket 53T Type A HRC45,SP50-53T-A-HRC45,15.875,,,,,,HRC45,-20°C to 150°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,53.0,267.82,277.74,A,Plain Bore,100.0,HRC40-50,,,,,,,,,,,,,,,,,,,,,,Hardened Steel
TSK_2775,Sprocket,ANSI #50,SP50-53T-B-S45C,#50 Chain Sprocket 53T Type B S45C,SP50-53T-B-S45C,15.875,,,,,,S45C,-20°C to 120°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,53.0,267.82,277.74,B,Finished Bore,150.0,HRC25-35,,,,,,,,,,,,,,,,,,,,,,Carbon Steel
TSK_2776,Sprocket,ANSI #50,SP50-53T-B-SUS304,#50 Chain Sprocket 53T Type B SUS304,SP50-53T-B-SUS304,15.875,,,,,,SUS304,-200°C to 400°C,,"Precision Machined, ANSI Standard, High Quality","Power Transmission, Conveyor Systems, Industrial Drives",,,,#50,53.0,267.82,277.74,B,Finished Bore,150.0,HRC20-30,,,,,,,,,,,,,,,,,,,,,,Stainless Steel
